,open,high,low,close,volume,symbol
2025-06-06,203.0,205.7,202.05,203.92,46607693.0,AAPL
2025-06-05,203.5,204.75,200.15,200.63,55221235.0,AAPL
2025-06-04,202.91,206.24,202.1,202.82,43603985.0,AAPL
2025-06-03,201.35,203.77,200.955,203.27,46381567.0,AAPL
2025-06-02,200.28,202.13,200.12,201.7,35423294.0,AAPL
2025-05-30,199.37,201.96,196.78,200.85,70819942.0,AAPL
2025-05-29,203.575,203.81,198.51,199.95,51477938.0,AAPL
2025-05-28,200.59,202.73,199.9,200.42,45339678.0,AAPL
2025-05-27,198.3,200.74,197.43,200.21,56288475.0,AAPL
2025-05-23,193.665,197.7,193.46,195.27,78432918.0,AAPL
2025-05-22,200.71,202.75,199.7,201.36,46742407.0,AAPL
2025-05-21,205.17,207.04,200.71,202.09,59211774.0,AAPL
2025-05-20,207.67,208.47,205.03,206.86,42496635.0,AAPL
2025-05-19,207.91,209.48,204.26,208.78,46140527.0,AAPL
2025-05-16,212.36,212.57,209.77,211.26,54737850.0,AAPL
2025-05-15,210.95,212.96,209.54,211.45,45029473.0,AAPL
2025-05-14,212.43,213.94,210.5801,212.33,49325825.0,AAPL
2025-05-13,210.43,213.4,209.0,212.93,51909332.0,AAPL
2025-05-12,210.97,211.2679,206.75,210.79,63775814.0,AAPL
2025-05-09,199.0,200.5399,197.535,198.53,36453923.0,AAPL
2025-05-08,197.72,200.05,194.6796,197.49,50478872.0,AAPL
2025-05-07,199.17,199.44,193.25,196.25,68616943.0,AAPL
2025-05-06,198.21,200.65,197.02,198.51,51216482.0,AAPL
2025-05-05,203.1,204.1,198.21,198.89,69018452.0,AAPL
2025-05-02,206.09,206.99,202.16,205.35,101010621.0,AAPL
2025-05-01,209.08,214.56,208.9,213.32,57365675.0,AAPL
2025-04-30,209.3,213.58,206.6705,212.5,52286454.0,AAPL
2025-04-29,208.693,212.24,208.37,211.21,36827633.0,AAPL
2025-04-28,210.0,211.5,207.46,210.14,38743074.0,AAPL
2025-04-25,206.365,209.75,206.2,209.28,38222258.0,AAPL
2025-04-24,204.89,208.8299,202.94,208.37,47310989.0,AAPL
2025-04-23,206.0,208.0,202.799,204.6,52929165.0,AAPL
2025-04-22,196.12,201.59,195.97,199.74,52976371.0,AAPL
2025-04-21,193.265,193.8,189.8112,193.16,46742537.0,AAPL
2025-04-17,197.2,198.8335,194.42,196.98,52164675.0,AAPL
2025-04-16,198.36,200.7,192.37,194.27,59732423.0,AAPL
2025-04-15,201.855,203.51,199.8,202.14,51343872.0,AAPL
2025-04-14,211.44,212.94,201.1621,202.52,101352911.0,AAPL
2025-04-11,186.1,199.54,186.06,198.15,87435915.0,AAPL
2025-04-10,189.065,194.7799,183.0,190.42,121879981.0,AAPL
2025-04-09,171.95,200.61,171.89,198.85,184395885.0,AAPL
2025-04-08,186.7,190.335,169.2101,172.42,120859491.0,AAPL
2025-04-07,177.2,194.15,174.62,181.46,160466286.0,AAPL
2025-04-04,193.89,199.88,187.34,188.38,125910913.0,AAPL
2025-04-03,205.54,207.49,201.25,203.19,103419006.0,AAPL
2025-04-02,221.315,225.19,221.02,223.89,35905904.0,AAPL
2025-04-01,219.805,223.68,218.9,223.19,36412740.0,AAPL
2025-03-31,217.005,225.62,216.23,222.13,65299321.0,AAPL
2025-03-28,221.67,223.81,217.68,217.9,39818617.0,AAPL
2025-03-27,221.39,224.99,220.5601,223.85,37094774.0,AAPL
2025-03-26,223.51,225.02,220.47,221.53,34532656.0,AAPL
2025-03-25,220.77,224.1,220.08,223.75,34493583.0,AAPL
2025-03-24,221.0,221.48,218.58,220.73,44299483.0,AAPL
2025-03-21,211.56,218.84,211.28,218.27,94127768.0,AAPL
2025-03-20,213.99,217.4899,212.22,214.1,48862947.0,AAPL
2025-03-19,214.22,218.76,213.75,215.24,54385391.0,AAPL
2025-03-18,214.16,215.15,211.49,212.69,42432426.0,AAPL
2025-03-17,213.31,215.22,209.97,214.0,48073426.0,AAPL
2025-03-14,211.25,213.95,209.58,213.49,60107582.0,AAPL
2025-03-13,215.95,216.8394,208.42,209.68,61368330.0,AAPL
2025-03-12,220.14,221.75,214.91,216.98,62547467.0,AAPL
2025-03-11,223.805,225.8399,217.45,220.84,76137410.0,AAPL
2025-03-10,235.54,236.16,224.22,227.48,71451281.0,AAPL
2025-03-07,235.105,241.37,234.76,239.07,46273565.0,AAPL
2025-03-06,234.435,237.86,233.1581,235.33,45170419.0,AAPL
2025-03-05,235.42,236.55,229.23,235.74,47227643.0,AAPL
2025-03-04,237.705,240.07,234.68,235.93,53798062.0,AAPL
2025-03-03,241.79,244.0272,236.112,238.03,47183985.0,AAPL
2025-02-28,236.95,242.09,230.2,241.84,56833360.0,AAPL
2025-02-27,239.41,242.46,237.06,237.3,41153639.0,AAPL
2025-02-26,244.33,244.98,239.13,240.36,44433564.0,AAPL
2025-02-25,248.0,250.0,244.91,247.04,48013272.0,AAPL
2025-02-24,244.925,248.86,244.42,247.1,51326396.0,AAPL
2025-02-21,245.95,248.69,245.22,245.55,53197431.0,AAPL
2025-02-20,244.94,246.78,244.29,245.83,32316907.0,AAPL
2025-02-19,244.66,246.01,243.1604,244.87,32204215.0,AAPL
2025-02-18,244.15,245.18,241.84,244.47,48822491.0,AAPL
2025-02-14,241.25,245.55,240.99,244.6,40896227.0,AAPL
2025-02-13,236.91,242.3399,235.57,241.53,53614054.0,AAPL
2025-02-12,231.2,236.96,230.68,236.87,45243292.0,AAPL
2025-02-11,228.2,235.23,228.13,232.62,53718362.0,AAPL
2025-02-10,229.57,230.585,227.2,227.65,33115645.0,AAPL
2025-02-07,232.6,234.0,227.26,227.63,39707224.0,AAPL
2025-02-06,231.285,233.8,230.425,233.22,29925349.0,AAPL
2025-02-05,228.53,232.67,228.27,232.47,39664989.0,AAPL
2025-02-04,227.25,233.13,226.65,232.8,45067301.0,AAPL
2025-02-03,229.99,231.83,225.7,228.01,73063301.0,AAPL
2025-01-31,247.19,247.19,233.44,236.0,101075128.0,AAPL
2025-01-30,238.665,240.79,237.21,237.59,55658279.0,AAPL
2025-01-29,234.12,239.855,234.01,239.36,45486100.0,AAPL
2025-01-28,230.85,240.19,230.81,238.26,75707569.0,AAPL
2025-01-27,224.02,232.15,223.98,229.86,94863418.0,AAPL
2025-01-24,224.78,225.63,221.41,222.78,54697907.0,AAPL
2025-01-23,224.74,227.03,222.3,223.66,60234760.0,AAPL
2025-01-22,219.79,224.12,219.79,223.83,64126500.0,AAPL
2025-01-21,224.0,224.42,219.38,222.64,98070429.0,AAPL
2025-01-17,232.115,232.29,228.48,229.98,68488301.0,AAPL
2025-01-16,237.35,238.01,228.03,228.26,71759052.0,AAPL
2025-01-15,234.635,238.96,234.43,237.87,39831969.0,AAPL
2025-01-14,234.75,236.12,232.472,233.28,39435294.0,AAPL
2025-06-06,170.83,174.5,170.83,173.68,35731832.0,GOOGL
2025-06-05,170.34,170.93,167.59,168.21,36444564.0,GOOGL
2025-06-04,166.735,168.215,166.36,168.05,26900838.0,GOOGL
2025-06-03,167.49,168.475,165.28,166.18,45084903.0,GOOGL
2025-06-02,167.84,169.87,167.39,169.03,38612272.0,GOOGL
2025-05-30,171.35,172.205,167.44,171.74,52639911.0,GOOGL
2025-05-29,174.0,174.4193,170.63,171.86,29373803.0,GOOGL
2025-05-28,173.16,175.265,171.9107,172.36,34783997.0,GOOGL
2025-05-27,170.16,173.17,170.0,172.9,37995670.0,GOOGL
2025-05-23,169.055,169.96,167.89,168.47,35211439.0,GOOGL
2025-05-22,171.85,176.77,170.71,170.87,74864418.0,GOOGL
2025-05-21,163.69,173.14,163.56,168.56,73415956.0,GOOGL
2025-05-20,166.43,168.5,162.9,163.98,46607656.0,GOOGL
2025-05-19,164.51,166.64,164.22,166.54,30426097.0,GOOGL
2025-05-16,167.725,169.35,165.62,166.19,42846925.0,GOOGL
2025-05-15,165.84,166.205,162.3732,163.96,33146669.0,GOOGL
2025-05-14,159.96,167.0,159.61,165.37,48755869.0,GOOGL
2025-05-13,158.79,160.57,156.16,159.53,42382126.0,GOOGL
2025-05-12,157.485,159.1,156.25,158.46,44138818.0,GOOGL
2025-05-09,154.17,155.05,152.2,152.75,32435281.0,GOOGL
2025-05-08,155.0,155.93,152.9,154.28,57498692.0,GOOGL
2025-05-07,164.08,165.0,147.84,151.38,127747554.0,GOOGL
2025-05-06,162.17,164.8,161.19,163.23,21277210.0,GOOGL
2025-05-05,163.0,165.39,162.72,164.21,21341814.0,GOOGL
2025-05-02,163.405,164.97,161.87,164.03,25715005.0,GOOGL
2025-05-01,160.45,161.95,158.91,161.3,30203248.0,GOOGL
2025-04-30,157.975,159.27,155.4,158.8,34981059.0,GOOGL
2025-04-29,160.325,160.74,157.52,160.16,26808958.0,GOOGL
2025-04-28,162.425,163.15,158.6,160.61,29745782.0,GOOGL
2025-04-25,165.07,166.1,161.04,161.96,56033995.0,GOOGL
2025-04-24,156.15,159.59,155.79,159.28,45893951.0,GOOGL
2025-04-23,155.61,157.525,153.81,155.35,31128833.0,GOOGL
2025-04-22,148.89,152.19,148.54,151.47,26971774.0,GOOGL
2025-04-21,148.88,148.945,146.1,147.67,26049115.0,GOOGL
2025-04-17,154.29,154.68,148.5,151.16,33046576.0,GOOGL
2025-04-16,153.1,155.89,151.51,153.33,28187421.0,GOOGL
2025-04-15,159.125,159.65,155.21,156.31,27551534.0,GOOGL
2025-04-14,159.995,161.72,157.56,159.07,30332957.0,GOOGL
2025-04-11,152.9,157.67,152.82,157.14,33636239.0,GOOGL
2025-04-10,156.54,157.72,149.93,152.82,48021972.0,GOOGL
2025-04-09,144.415,159.55,143.905,158.71,70406232.0,GOOGL
2025-04-08,151.22,152.24,143.03,144.7,52200208.0,GOOGL
2025-04-07,141.55,152.85,140.53,146.75,76794136.0,GOOGL
2025-04-04,148.01,151.07,145.38,145.6,62259539.0,GOOGL
2025-04-03,151.11,152.7799,150.39,150.72,46883371.0,GOOGL
2025-04-02,155.15,158.4052,154.7,157.04,25041730.0,GOOGL
2025-04-01,153.62,158.1,153.62,157.07,30672899.0,GOOGL
2025-03-31,153.11,155.54,150.662,154.64,54603464.0,GOOGL
2025-03-28,160.49,161.82,153.63,154.33,48669335.0,GOOGL
2025-03-27,164.63,165.42,162.0,162.24,24508273.0,GOOGL
2025-03-26,169.0,169.61,164.84,165.06,28939326.0,GOOGL
2025-03-25,168.98,170.63,168.315,170.56,24174373.0,GOOGL
2025-03-24,167.065,168.32,165.14,167.68,30879129.0,GOOGL
2025-03-21,161.205,164.24,160.8901,163.99,36625764.0,GOOGL
2025-03-20,161.57,164.89,160.96,162.8,28138464.0,GOOGL
2025-03-19,161.76,165.87,161.0,163.89,34275582.0,GOOGL
2025-03-18,163.675,164.25,156.72,160.67,42074751.0,GOOGL
2025-03-17,165.03,166.3,163.67,164.29,31184335.0,GOOGL
2025-03-14,163.27,166.49,162.45,165.49,31995894.0,GOOGL
2025-03-13,166.035,166.13,162.11,162.76,31756214.0,GOOGL
2025-03-12,166.58,167.6399,163.53,167.11,28372396.0,GOOGL
2025-03-11,164.91,166.75,161.37,164.04,39587414.0,GOOGL
2025-03-10,168.26,168.46,163.69,165.87,43377356.0,GOOGL
2025-03-07,171.26,174.97,170.27,173.86,27385813.0,GOOGL
2025-03-06,170.53,174.81,170.5,172.35,28301953.0,GOOGL
2025-03-05,170.52,173.78,169.06,173.02,30954922.0,GOOGL
2025-03-04,166.24,173.2946,165.8,170.92,45387996.0,GOOGL
2025-03-03,171.925,173.37,165.93,167.01,40770451.0,GOOGL
2025-02-28,168.68,170.61,166.77,170.28,48130565.0,GOOGL
2025-02-27,173.99,174.56,167.94,168.5,39991015.0,GOOGL
2025-02-26,175.07,176.08,171.5807,172.73,35431268.0,GOOGL
2025-02-25,178.04,178.74,174.6939,175.42,41913411.0,GOOGL
2025-02-24,181.99,183.12,178.885,179.25,29854206.0,GOOGL
2025-02-21,185.15,185.34,179.08,179.66,35199239.0,GOOGL
2025-02-20,184.8,185.31,182.72,184.56,20441462.0,GOOGL
2025-02-19,184.07,185.46,183.59,185.27,19549396.0,GOOGL
2025-02-18,185.6,185.96,181.7401,183.77,29916675.0,GOOGL
2025-02-14,185.055,186.4,184.32,185.23,20448437.0,GOOGL
2025-02-13,184.32,186.28,183.14,186.14,21402523.0,GOOGL
2025-02-12,183.22,185.11,181.83,183.61,22072559.0,GOOGL
2025-02-11,185.03,186.94,184.28,185.32,21239519.0,GOOGL
2025-02-10,187.35,188.2,185.86,186.47,23105649.0,GOOGL
2025-02-07,191.05,191.18,183.24,185.34,49314961.0,GOOGL
2025-02-06,189.5,192.1,188.72,191.6,29297442.0,GOOGL
2025-02-05,191.07,192.75,188.03,191.33,70461770.0,GOOGL
2025-02-04,203.39,207.05,202.81,206.38,43856425.0,GOOGL
2025-02-03,200.69,203.75,200.1,201.23,27838348.0,GOOGL
2025-01-31,202.0,205.48,201.8,204.02,32041952.0,GOOGL
2025-01-30,198.0,201.4,197.67,200.87,24354684.0,GOOGL
2025-01-29,195.555,196.785,193.43,195.41,18218256.0,GOOGL
2025-01-28,192.745,195.48,190.68,195.3,24157929.0,GOOGL
2025-01-27,192.41,196.88,190.73,191.81,41728893.0,GOOGL
2025-01-24,198.1,200.9,198.0,200.21,23877521.0,GOOGL
2025-01-23,198.14,200.3,195.2,197.98,26951357.0,GOOGL
2025-01-22,199.06,200.48,197.53,198.37,26200617.0,GOOGL
2025-01-21,199.07,202.29,197.87,198.05,29971292.0,GOOGL
2025-01-17,196.53,197.23,193.75,196.0,27735089.0,GOOGL
2025-01-16,194.14,195.48,192.81,192.91,17815432.0,GOOGL
2025-01-15,193.09,196.36,191.86,195.55,21775969.0,GOOGL
2025-01-14,191.24,191.98,188.3082,189.66,17174854.0,GOOGL
2025-06-06,470.085,473.335,468.78,470.38,15285624.0,MSFT
2025-06-05,464.955,469.65,464.03,467.68,20154460.0,MSFT
2025-06-04,464.0,465.69,463.0201,463.87,14162688.0,MSFT
2025-06-03,461.47,464.14,460.8622,462.97,15743760.0,MSFT
2025-06-02,457.14,462.11,456.89,461.97,16626495.0,MSFT
2025-05-30,459.715,461.68,455.54,460.36,34770475.0,MSFT
2025-05-29,461.55,461.72,455.3105,458.68,13982211.0,MSFT
2025-05-28,461.22,462.52,456.93,457.36,17086261.0,MSFT
2025-05-27,456.48,460.95,456.115,460.69,20974293.0,MSFT
2025-05-23,449.98,453.69,448.91,450.18,16883509.0,MSFT
2025-05-22,454.95,460.25,453.9,454.86,18025612.0,MSFT
2025-05-21,454.57,457.78,451.814,452.57,19216906.0,MSFT
2025-05-20,455.59,458.34,454.3201,458.17,15441808.0,MSFT
2025-05-19,450.875,459.585,450.8,458.87,21336509.0,MSFT
2025-05-16,452.05,454.36,448.73,454.27,23849781.0,MSFT
2025-05-15,450.765,456.19,450.4301,453.13,21992323.0,MSFT
2025-05-14,448.14,453.9,448.14,452.94,19902796.0,MSFT
2025-05-13,447.78,450.6733,445.36,449.14,23618819.0,MSFT
2025-05-12,445.94,449.37,439.78,449.26,22821935.0,MSFT
2025-05-09,440.0,440.74,435.88,438.73,15324233.0,MSFT
2025-05-08,437.93,443.67,435.66,438.17,23491330.0,MSFT
2025-05-07,433.84,438.12,431.1103,433.35,23307241.0,MSFT
2025-05-06,432.2,437.73,431.17,433.31,15104204.0,MSFT
2025-05-05,432.87,439.5,432.11,436.17,20136053.0,MSFT
2025-05-02,431.74,439.44,429.985,435.28,30757434.0,MSFT
2025-05-01,431.11,436.99,424.9,425.4,58938100.0,MSFT
2025-04-30,390.3,396.66,384.44,395.26,36461075.0,MSFT
2025-04-29,391.3,395.1,390.38,394.04,14973976.0,MSFT
2025-04-28,391.955,392.74,386.638,391.16,16579430.0,MSFT
2025-04-25,387.0,392.16,384.6,391.85,18973165.0,MSFT
2025-04-24,375.695,388.45,375.19,387.3,22232289.0,MSFT
2025-04-23,376.06,380.39,373.02,374.39,20545526.0,MSFT
2025-04-22,363.375,367.77,359.8602,366.82,19484993.0,MSFT
2025-04-21,362.815,364.48,355.67,359.12,20807279.0,MSFT
2025-04-17,373.745,374.3215,366.89,367.78,21120192.0,MSFT
2025-04-16,380.67,381.61,368.0,371.61,21967826.0,MSFT
2025-04-15,388.505,391.89,384.1599,385.73,17199890.0,MSFT
2025-04-14,393.22,394.65,384.21,387.81,19251172.0,MSFT
2025-04-11,380.635,390.05,378.89,388.45,23839220.0,MSFT
2025-04-10,382.06,383.9,367.8,381.35,38024368.0,MSFT
2025-04-09,353.535,393.225,353.1,390.49,50199696.0,MSFT
2025-04-08,368.255,373.65,350.25,354.56,35868918.0,MSFT
2025-04-07,350.88,370.9999,344.79,357.86,50424998.0,MSFT
2025-04-04,364.125,374.59,359.48,359.84,49209854.0,MSFT
2025-04-03,374.785,377.48,369.35,373.11,30197997.0,MSFT
2025-04-02,377.965,385.08,376.62,382.14,16092555.0,MSFT
2025-04-01,374.65,382.85,373.23,382.19,19689503.0,MSFT
2025-03-31,372.535,377.07,367.24,375.39,35184676.0,MSFT
2025-03-28,388.08,389.13,376.93,378.8,21632016.0,MSFT
2025-03-27,390.13,392.24,387.395,390.58,13766761.0,MSFT
2025-03-26,395.0,395.31,388.57,389.97,16132906.0,MSFT
2025-03-25,393.915,396.36,392.64,395.16,15774968.0,MSFT
2025-03-24,395.4,395.4,389.81,393.08,21004548.0,MSFT
2025-03-21,383.215,391.74,382.8,391.26,39675928.0,MSFT
2025-03-20,385.735,391.785,383.28,386.84,18470542.0,MSFT
2025-03-19,385.525,389.68,384.0,387.82,19185532.0,MSFT
2025-03-18,387.07,387.37,381.1,383.52,19486850.0,MSFT
2025-03-17,386.7,392.705,385.57,388.7,22474272.0,MSFT
2025-03-14,379.775,390.23,379.51,388.56,19952846.0,MSFT
2025-03-13,383.155,385.32,377.45,378.77,20473017.0,MSFT
2025-03-12,382.95,385.2165,378.9507,383.27,24253567.0,MSFT
2025-03-11,379.0,386.0,376.91,380.45,30380177.0,MSFT
2025-03-10,385.84,386.4,377.22,380.16,32569768.0,MSFT
2025-03-07,392.32,394.8,385.54,393.31,22034087.0,MSFT
2025-03-06,394.28,402.15,392.6777,396.89,23304625.0,MSFT
2025-03-05,389.34,401.67,388.81,401.02,23433132.0,MSFT
2025-03-04,383.4,392.58,381.0,388.61,29342923.0,MSFT
2025-03-03,398.82,398.82,386.155,388.49,23007726.0,MSFT
2025-02-28,392.655,397.63,386.57,396.99,32845658.0,MSFT
2025-02-27,401.265,405.74,392.17,392.53,21127406.0,MSFT
2025-02-26,398.01,403.6,394.245,399.73,19618954.0,MSFT
2025-02-25,401.1,401.915,396.7,397.9,29387402.0,MSFT
2025-02-24,408.51,409.37,399.32,404.0,26443656.0,MSFT
2025-02-21,417.335,418.048,407.89,408.21,27524799.0,MSFT
2025-02-20,415.29,419.31,412.54,416.13,23508728.0,MSFT
2025-02-19,407.88,415.49,407.65,414.77,24114197.0,MSFT
2025-02-18,408.0,410.597,406.5,409.64,21423051.0,MSFT
2025-02-14,407.79,408.91,405.88,408.43,22758464.0,MSFT
2025-02-13,407.0,411.0,406.36,410.54,23891731.0,MSFT
2025-02-12,407.21,410.75,404.3673,409.04,19121734.0,MSFT
2025-02-11,409.64,412.49,409.3,411.44,18140592.0,MSFT
2025-02-10,413.71,415.4624,410.92,412.22,20817919.0,MSFT
2025-02-07,416.48,418.65,408.1,409.75,22886844.0,MSFT
2025-02-06,414.0,418.2,414.0,415.82,16309755.0,MSFT
2025-02-05,412.35,413.827,410.4,413.29,16336188.0,MSFT
2025-02-04,412.685,413.9199,409.74,412.37,20532096.0,MSFT
2025-02-03,411.6,415.41,408.66,410.92,25679149.0,MSFT
2025-01-31,418.98,420.69,414.91,415.06,34223388.0,MSFT
2025-01-30,418.77,422.86,413.16,414.99,54586260.0,MSFT
2025-01-29,446.69,446.88,440.4,442.33,23581370.0,MSFT
2025-01-28,434.6,448.38,431.38,447.2,23491703.0,MSFT
2025-01-27,424.01,435.2,423.5,434.56,35647805.0,MSFT
2025-01-24,445.16,446.65,441.4,444.06,15549453.0,MSFT
2025-01-23,442.0,446.75,441.5048,446.71,18389270.0,MSFT
2025-01-22,437.56,447.27,436.0,446.2,27803811.0,MSFT
2025-01-21,430.2,430.8999,425.595,428.5,26085703.0,MSFT
2025-01-17,434.085,434.48,428.17,429.03,26197507.0,MSFT
2025-01-16,428.695,429.49,424.39,424.58,15300023.0,MSFT
2025-01-15,419.13,428.15,418.265,426.31,19637838.0,MSFT
2025-01-14,417.81,419.74,410.72,415.67,16935856.0,MSFT
